region,sku_id,n_weeks
Central,SKU001,53
Central,SKU002,53
Central,SKU003,53
Central,SKU004,53
Central,SKU005,53
Central,SKU006,53
Central,SKU007,53
Central,SKU008,53
Central,SKU009,53
Central,SKU010,53
Central,SKU011,53
Central,SKU012,53
Central,SKU013,53
Central,SKU014,53
Central,SKU015,53
Eastern,SKU001,53
Eastern,SKU002,53
Eastern,SKU003,53
Eastern,SKU004,53
Eastern,SKU005,53
Eastern,SKU006,53
Eastern,SKU007,53
Eastern,SKU008,53
Eastern,SKU009,53
Eastern,SKU010,53
Eastern,SKU011,53
Eastern,SKU012,53
Eastern,SKU013,53
Eastern,SKU014,53
Eastern,SKU015,53
North Central,SKU001,53
North Central,SKU002,53
North Central,SKU003,53
North Central,SKU004,53
North Central,SKU005,53
North Central,SKU006,53
North Central,SKU007,53
North Central,SKU008,53
North Central,SKU009,53
North Central,SKU010,53
North Central,SKU011,53
North Central,SKU012,53
North Central,SKU013,53
North Central,SKU014,53
North Central,SKU015,53
North Western,SKU001,53
North Western,SKU002,53
North Western,SKU003,53
North Western,SKU004,53
North Western,SKU005,53
North Western,SKU006,53
North Western,SKU007,53
North Western,SKU008,53
North Western,SKU009,53
North Western,SKU010,53
North Western,SKU011,53
North Western,SKU012,53
North Western,SKU013,53
North Western,SKU014,53
North Western,SKU015,53
Northern,SKU001,53
Northern,SKU002,53
Northern,SKU003,53
Northern,SKU004,53
Northern,SKU005,53
Northern,SKU006,53
Northern,SKU007,53
Northern,SKU008,53
Northern,SKU009,53
Northern,SKU010,53
Northern,SKU011,53
Northern,SKU012,53
Northern,SKU013,53
Northern,SKU014,53
Northern,SKU015,53
Sabaragamuwa,SKU001,53
Sabaragamuwa,SKU002,53
Sabaragamuwa,SKU003,53
Sabaragamuwa,SKU004,53
Sabaragamuwa,SKU005,53
Sabaragamuwa,SKU006,53
Sabaragamuwa,SKU007,53
Sabaragamuwa,SKU008,53
Sabaragamuwa,SKU009,53
Sabaragamuwa,SKU010,53
Sabaragamuwa,SKU011,53
Sabaragamuwa,SKU012,53
Sabaragamuwa,SKU013,53
Sabaragamuwa,SKU014,53
Sabaragamuwa,SKU015,53
Southern,SKU001,53
Southern,SKU002,53
Southern,SKU003,53
Southern,SKU004,53
Southern,SKU005,53
Southern,SKU006,53
Southern,SKU007,53
Southern,SKU008,53
Southern,SKU009,53
Southern,SKU010,53
Southern,SKU011,53
Southern,SKU012,53
Southern,SKU013,53
Southern,SKU014,53
Southern,SKU015,53
Uva,SKU001,53
Uva,SKU002,53
Uva,SKU003,53
Uva,SKU004,53
Uva,SKU005,53
Uva,SKU006,53
Uva,SKU007,53
Uva,SKU008,53
Uva,SKU009,53
Uva,SKU010,53
Uva,SKU011,53
Uva,SKU012,53
Uva,SKU013,53
Uva,SKU014,53
Uva,SKU015,53
Western,SKU001,53
Western,SKU002,53
Western,SKU003,53
Western,SKU004,53
Western,SKU005,53
Western,SKU006,53
Western,SKU007,53
Western,SKU008,53
Western,SKU009,53
Western,SKU010,53
Western,SKU011,53
Western,SKU012,53
Western,SKU013,53
Western,SKU014,53
Western,SKU015,53
